feature,coef,abs_coef
cat__Station_Banda Bisndha Mrooli,-2.982545349809243,2.982545349809243
cat__Station_Banda Kamasin Tilowsa,-3.893603073830036,3.893603073830036
cat__Station_Banda Tindwari Bhindowra,-11.729160109923669,11.729160109923669
cat__Station_Bdo Office Campus Pipraich,0.8705268672797644,0.8705268672797644
cat__Station_Bhitari_2,13.032531350038994,13.032531350038994
cat__Station_Bijijauri_1,20.727413991352364,20.727413991352364
cat__Station_Birdha /Poorabirdha,19.61056898825501,19.61056898825501
cat__Station_Block Deoria Campus Deoria Sadar,0.4748033319547318,0.4748033319547318
cat__Station_Block Development Office-Khekra-Shallow,-6.6934570804903615,6.6934570804903615
"cat__Station_Block Office, Kurara",-5.750690071017289,5.750690071017289
"cat__Station_Block office, Gursarai",-3.3991015825483544,3.3991015825483544
cat__Station_Chakara  P_1,20.45129746499316,20.45129746499316
cat__Station_Chandi Kalan,18.05120534573132,18.05120534573132
cat__Station_Chhibaw_1,18.133534972959524,18.133534972959524
cat__Station_Chirautha,17.59196732252485,17.59196732252485
cat__Station_Chitrakoot Karvi Khoha,-12.59734225404759,12.59734225404759
cat__Station_Chitrakoot Karvi Shivrampur,-21.89597265597979,21.89597265597979
cat__Station_Chitrakoot Manikpur Agarhudha,-14.2074765771398,14.2074765771398
cat__Station_Chitrakoot Manikpur Sardar Patel,-13.066904315906754,13.066904315906754
cat__Station_Chorwa Bhari Prathmik Vidyalaya,1.5999614000005522,1.5999614000005522
"cat__Station_Community Center, Ghorawal",1.4468782701434293,1.4468782701434293
cat__Station_Comosite School Campus Badalganj,-1.5654433886446668,1.5654433886446668
cat__Station_Composite Girls Primary School Mai,-12.391888767986757,12.391888767986757
cat__Station_Composite School Basantpur Saitali-1,0.4312241272330084,0.4312241272330084
cat__Station_Composite School Biralsi,1.1855026859374789,1.1855026859374789
cat__Station_Composite School Kilhora,-5.545034064236916,5.545034064236916
cat__Station_Composite School Nagla Bair,-0.6706874128624349,0.6706874128624349
cat__Station_Composite School Sagarpur,-1.6675366859130918,1.6675366859130918
cat__Station_Composite School Sanjarpur,3.907541418180699,3.907541418180699
cat__Station_Composite School katar,-0.48562634840016017,0.48562634840016017
"cat__Station_Composite School, Dhamna Khurd",4.396901292914208,4.396901292914208
"cat__Station_Composite School, Ghamhapur",-2.329185399156131,2.329185399156131
"cat__Station_Composite School, Mungari",0.11383565175242438,0.11383565175242438
"cat__Station_Composite School, Pathraha",-2.8139670096095415,2.8139670096095415
"cat__Station_Composite Uccha Prathmik Vidhyalaya, Paltadevi",-0.06042966553036422,0.06042966553036422
cat__Station_Composite Upper Primary School Sajania,-2.1340611282828377,2.1340611282828377
cat__Station_DEOCHALI C.V. VIDYALAYA,7.419880047970764,7.419880047970764
cat__Station_Deoria Bhaluwani Markna,0.7165963642836886,0.7165963642836886
cat__Station_Deoria Bhatani Mishrauli Dichit,0.8503101097035568,0.8503101097035568
cat__Station_Deoria Bhatpar Rani Dharkwan,1.2241110752329831,1.2241110752329831
cat__Station_Deoria Salempur Manihari,0.13396833496106808,0.13396833496106808
cat__Station_Deoria Tarkulwa Tarkulwa,-2.0111632168746496,2.0111632168746496
cat__Station_Devrar_1,17.72107671403478,17.72107671403478
cat__Station_Dhikauli,20.305736452678303,20.305736452678303
cat__Station_Etah Aavagarh Badhawali,3.6133896610194824,3.6133896610194824
cat__Station_Etah Jalesar Hasangarh,-0.3608714403394515,0.3608714403394515
cat__Station_Etah Jalesar Sakrauli,-4.3391221581273385,4.3391221581273385
cat__Station_FAREDUPUR PRATHMIK VIDYALAYA,2.388792720057154,2.388792720057154
cat__Station_Firozabad Madanpur Rudhawali,-7.367613665002864,7.367613665002864
cat__Station_Gadhela Panchayat Bhawan,-5.11832230576465,5.11832230576465
cat__Station_Gloragundera/Gewara,19.90321703241517,19.90321703241517
cat__Station_Gorakhpur Barahalganj Bhatpar (Saukhor),-0.4982954462402347,0.4982954462402347
cat__Station_Gorakhpur Barahalganj Ojhauli,-0.7514722509387752,0.7514722509387752
cat__Station_Gorakhpur Belghat Belghat,-0.9324969793126456,0.9324969793126456
cat__Station_Gorakhpur Belghat Murarpur,-0.35520186482074223,0.35520186482074223
cat__Station_Gorakhpur Chargaon Beniganj,1.5625084622238177,1.5625084622238177
cat__Station_Gorakhpur Gagaha Gagaha,0.37152372142038814,0.37152372142038814
cat__Station_Gorakhpur Gola Dhakwarchak,0.20329879268869178,0.20329879268869178
cat__Station_Gorakhpur Gola Gopalpur Patham,1.115871405616133,1.115871405616133
cat__Station_Gorakhpur Gola Turkwaliya,0.08499042017824365,0.08499042017824365
cat__Station_Gorakhpur Kauriram Dhausa,0.7988557390895465,0.7988557390895465
cat__Station_Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,0.9101985923762186,0.9101985923762186
cat__Station_Gorakhpur Pali Dumari Niwas,-0.07573977267387022,0.07573977267387022
cat__Station_Gorakhpur Pali Pali,-0.08320468372122036,0.08320468372122036
cat__Station_Gorakhpur Sahjanwa Kasrol,0.5637584024236304,0.5637584024236304
cat__Station_Gorakhpur Sardarnagr Awadpur,1.8153004526007237,1.8153004526007237
cat__Station_Gorakhpur Urwa Malhanpar,0.17722225661626823,0.17722225661626823
cat__Station_Goshala Bada Gaon,-8.59271994524238,8.59271994524238
