station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
BANI KHAS C.V. VIDYALAYA,KAUSHAMBI,7,7,744,0.5722962105201862,0.7039500177419328,0.8994779036059832,0.9581068555353879,0.5338297332323356,0.6753426218656466,0.9614095619026837,0.807933360293255
BANSGAON PRATHMIK VIDYALAYA,GORAKHPUR,7,7,765,0.47491180449158094,0.6793814890762477,0.5550560680687188,0.8360805568859003,0.4060513694193049,0.5351759279224825,0.5106486595421972,0.7499668314424902
Badaun Salarpur BDO Office,BUDAUN,6,6,665,0.24268359658967503,0.23591295744449645,0.7376816679392848,0.7859406963239035,0.19967741451121782,0.20505391678828075,0.36556963524347147,0.25674233642859673
Badaun Ujhani Sports Stadium,BUDAUN,6,6,673,0.1514343571212358,0.15203321512766177,0.5420735106723078,0.619509151014832,0.1415294750965256,0.07932117164922109,0.15951175940646267,0.1268126100934123
Badaun Usawan BDO Office,BUDAUN,6,6,681,0.1669344524529166,0.15337920715821632,0.5234028777285902,0.7029856998061479,0.1290781397438772,0.08873064616574491,0.34437901025666307,0.2686992722365707
Badhai Khurd Pr. Vid.,MUZAFFARNAGAR,7,7,761,0.6115483632273095,0.7371575329955106,0.7104882640650262,0.6339583805329666,0.5037888921772768,0.6110752166917425,0.8051566988838211,0.49368206886522353
Baghpat Meerut Kheda Balrampur Itiyara,MEERUT,7,7,839,0.3628187027670871,0.3723759052432926,0.5145693874525649,0.4869721959132049,0.367855412533789,0.35978593230692685,0.19125105325989095,0.2897696060720909
Banda Baberu Anvan,BANDA,6,6,669,1.098997745055306,0.9982129016270894,0.7830959138541628,0.7439005004284001,1.2210140674328493,1.1269852545709242,0.7711506574948644,0.6842452016266347
Banda Baberu Umrehani,BANDA,6,6,696,1.3733569972486042,1.5646646321733086,2.6582809236103238,2.661257919026129,1.5093356624944514,1.6943257823886293,4.6499477287758815,4.954374070826115
Banda Badokhar Khurd Chatgan,BANDA,7,7,789,0.2741680937411214,0.27478868839823883,2.6269412258365685,2.6578360391222575,0.24412149656610213,0.23972690671891161,3.646262187378732,3.517951181741028
Banda Bisndha Mrooli,BANDA,6,6,717,1.381269877077242,1.1294293984384753,1.0851813905288015,0.69112286775538,1.5526886665803337,1.2968888756439778,0.7551477186064922,0.7181408541911072
