station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
Primary School chandsina,MUZAFFARNAGAR,-75.8,2026-09-05 00:00:00,5,True,-75.554,-77.221,-75.75,-73.535,0.05,0.246,1.843,True,stable
Primary School Campus Powai,AZAMGARH,-9.164,2026-09-05 00:00:00,5,True,-8.807,-10.587,-9.106,-6.897,0.058,0.357,1.845,True,stable
"Prathmik Vidhyalaya, Thavai",FATEHPUR,-5.81,2026-09-05 00:00:00,5,True,-5.549,-7.24,-5.782,-1.118,0.028,0.261,3.061,True,stable
Poorv Madhamik Vidhyalaya Kaseti,ETAH,-7.679,2026-09-05 00:00:00,5,True,-7.389,-9.137,-7.651,-2.733,0.028,0.29,3.202,True,stable
Uccha Prathmik Vidhyalaya Deaval,CHITRAKOOT,-18.359,2026-08-04 18:00:00,36,True,-18.014,-19.825,-18.331,-13.948,0.028,0.345,2.939,True,stable
Primary School Madari,FATEHPUR,-22.957,2026-09-04 18:00:00,5,True,-22.696,-24.41,-22.933,-18.249,0.024,0.261,3.08,True,stable
Primary School Jamunia,MIRZAPUR,-0.717,2026-09-05 00:00:00,5,True,-0.699,-2.147,-0.786,0.081,-0.069,0.018,1.114,True,stable
"Uccha Prathmik Vidhyalaya, Chero",DEORIA,-3.155,2026-08-02 12:00:00,38,True,-2.742,-4.585,-3.046,-0.947,0.109,0.413,1.819,True,stable
Prathmik Vidhyalaya Barha,JALAUN,-0.174,2026-09-05 00:00:00,5,True,-0.156,-1.604,-0.245,0.253,-0.071,0.018,0.929,True,stable
"Composite School, Dhamna Khurd",FATEHPUR,-14.239,2026-08-15 18:00:00,25,True,-14.091,-15.667,-14.19,-11.811,0.049,0.148,1.928,True,stable
Composite School Basantpur Saitali-1,GHAZIABAD,-8.613,2026-08-15 18:00:00,25,True,-8.43,-10.038,-8.552,-6.713,0.061,0.183,1.663,True,stable
Primary School Vamanpura,BUDAUN,-23.004,2026-09-05 00:00:00,5,True,-22.758,-24.429,-22.948,-19.533,0.056,0.246,2.448,True,stable
Prathmik Vidhyalaya Bant,LALITPUR,-2.035,2026-09-05 00:00:00,5,True,-1.998,-3.474,-2.024,-0.194,0.011,0.037,1.64,True,stable
Primary School Bargdhi,GORAKHPUR,-1.424,2026-08-15 18:00:00,25,True,-1.387,-2.849,-1.493,-1.295,-0.069,0.037,0.777,True,stable
primary school Chaura khurd,SAHARANPUR,-15.995,2026-09-05 00:00:00,5,True,-15.749,-17.418,-15.93,-13.951,0.065,0.246,1.733,True,stable
Uccha Prathmik Vidhyalaya Devaratha,BANDA,-5.234,2026-09-05 00:00:00,5,True,-4.99,-6.673,-5.206,-1.22,0.028,0.244,2.726,True,stable
Primary School English Medium Qutubpur Labdauna,SAHARANPUR,-5.759,2026-09-05 00:00:00,5,True,-5.498,-7.187,-5.731,-1.105,0.028,0.261,3.041,True,stable
