Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
Jaunpur Rampur Kathwatiya,JAUNPUR,-,-,25.441039,82.700215,9,853,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Rampur Prithvipur,VARANASI,-,-,25.446892,82.681823,9,374,2026-01-28 12:38:00,2026-09-05 18:00:00,False
Jaunpur Rampur Sultanpur,JAUNPUR,-,-,25.461207,82.638461,9,836,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaurahi_1,BANDA,-,-,25.482499,80.438701,8,644,2026-01-09 12:00:00,2026-09-05 18:00:00,True
Jawar /Jhabar,LALITPUR,-,-,25.14884,78.56618,4,335,2026-02-01 00:00:00,2026-08-27 06:00:00,False
Jharar,LALITPUR,-,-,25.12981438,78.49342005,5,369,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Jitakiri Danda,HAMIRPUR,-,-,25.88535,79.60473,7,494,2026-01-08 12:00:00,2026-09-05 18:00:00,False
Joramafi,CHITRAKOOT,-,-,25.004997,80.995863,6,448,2026-01-01 00:00:00,2026-07-11 18:00:00,False
"Jr. High School, Akbarpur",CHITRAKOOT,-,-,25.4194,81.09424,7,610,2026-01-01 00:00:00,2026-08-16 00:00:00,False
"Jr. High School, Purwa Tarouha",CHITRAKOOT,-,-,25.2842,81.2466,8,654,2026-01-01 00:00:00,2026-09-05 00:00:00,True
Junior HIgh School Amawan,CHITRAKOOT,-,-,25.318427,81.2073,7,791,2026-01-01 00:00:00,2026-07-17 12:00:00,False
Junior HIgh School Bhambhet,CHITRAKOOT,-,-,25.366483,81.166755,7,760,2026-01-02 00:00:00,2026-07-22 18:00:00,False
Junior HIgh School Cheriya Khurd,CHITRAKOOT,-,-,25.014267,80.99072,7,788,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Junior HIgh School Dhadhawar,CHITRAKOOT,-,-,25.271344,81.32522,7,787,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Junior HIgh School Khatawara,CHITRAKOOT,-,-,25.369462,81.136667,7,792,2026-01-01 02:53:00,2026-07-23 14:53:00,False
Junior HIgh School Sikari,CHITRAKOOT,-,-,25.322186,81.179059,7,786,2026-01-01 10:12:00,2026-07-23 10:12:00,False
"Junior HIgh School, Ballayn",MAHOBA,-,-,25.531496,79.671444,7,786,2026-01-01 00:00:00,2026-07-22 12:00:00,False
"Junior HIgh School, Bhatewara Kala",MAHOBA,-,-,25.438708,79.570416,7,785,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior HIgh School, Digaria",MAHOBA,-,-,25.129313,79.822106,7,790,2026-01-01 03:12:00,2026-07-23 09:12:00,False
"Junior HIgh School, Indrahata",MAHOBA,-,-,25.145504,79.475436,0,0,,2025-06-04 07:00:00,False
"Junior HIgh School, Kalla",HAMIRPUR,-,-,25.812662,79.99121,7,774,2026-01-01 00:00:00,2026-07-22 18:00:00,False
"Junior HIgh School, Sigaun",MAHOBA,-,-,25.120499,79.409797,7,785,2026-01-01 02:31:00,2026-07-23 14:31:00,False
"Junior HIgh School, Sijaria",MAHOBA,-,-,25.1032,79.8437,7,786,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior HIgh School, Surauli Buzurg",HAMIRPUR,-,-,25.879875,80.298302,7,780,2026-01-01 00:00:00,2026-07-22 18:00:00,False
"Junior HIgh School, Thathewra",MAHOBA,-,-,25.227793,79.672488,7,790,2026-01-01 00:40:00,2026-07-23 12:40:00,False
Junior High School Alipura,MAHOBA,-,-,25.43143,79.479733,7,764,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Junior High School Bharpura,JHANSI,-,-,25.295985,79.222202,3,262,2026-01-01 00:00:00,2026-03-15 06:00:00,False
Junior High School Chorha,CHITRAKOOT,-,-,25.331511,81.146778,0,0,,2024-07-11 12:00:00,False
Junior High School Ghisoli,JHANSI,-,-,25.180392,78.463188,0,0,,2025-09-02 12:00:00,False
Junior High School Kadesara,LALITPUR,-,-,25.090405,78.4353,0,0,,2025-05-02 10:48:00,False
Junior High School Madwan,JHANSI,-,-,25.340962,79.199337,7,783,2026-01-01 02:31:00,2026-07-23 14:31:00,False
Junior High School Naya Gaon,JHANSI,-,-,25.258654,79.253985,7,786,2026-01-01 03:13:00,2026-07-23 15:13:00,False
Junior High School Sihiriya,JHANSI,-,-,25.244208,78.522504,9,908,2026-01-01 00:00:00,2026-09-05 06:00:00,True
Junior High School Tilera,JHANSI,-,-,25.327386,79.190505,7,770,2026-01-01 02:12:00,2026-07-23 08:12:00,False
"Junior High School, Banai",BANDA,-,-,25.320558,80.698321,7,788,2026-01-01 06:00:00,2026-07-23 00:00:00,False
"Junior High School, Bapretha",MAHOBA,-,-,25.470388,79.628699,7,794,2026-01-01 10:15:00,2026-07-23 10:15:00,False
"Junior High School, Bhasround",BANDA,-,-,25.342237,80.34512,7,782,2026-01-01 01:12:00,2026-07-23 13:12:00,False
"Junior High School, Chandour",BANDA,-,-,25.294451,80.7076,7,776,2026-01-01 02:25:00,2026-07-22 18:00:00,False
"Junior High School, Gudha",MAHOBA,-,-,25.448416,79.6774,7,775,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Jogiya Khera",MUZAFFARNAGAR,-,-,29.294346,77.382071,7,762,2026-01-01 00:00:00,2026-07-23 06:00:00,False
"Junior High School, Kamalpura",MAHOBA,-,-,25.295822,79.69586,7,778,2026-01-01 00:11:00,2026-07-23 12:11:00,False
"Junior High School, Kamruddeen Nagar",MUZAFFARNAGAR,-,-,29.273779,77.376764,7,771,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Kharad",MUZAFFARNAGAR,-,-,29.361897,77.412368,7,792,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Khera Mastan",MUZAFFARNAGAR,-,-,29.346313,77.38024,7,790,2026-01-01 00:00:00,2026-07-23 00:00:00,False
"Junior High School, Kolouha",BANDA,-,-,25.119174,80.672052,7,770,2026-01-01 00:00:00,2026-07-23 06:00:00,False
"Junior High School, Ladpur",MAHOBA,-,-,25.311363,79.715273,7,786,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Luhedi",MAHOBA,-,-,25.144908,79.635753,7,779,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Nagwara",BANDA,-,-,25.291054,80.627302,7,727,2026-01-01 00:00:00,2026-07-05 18:00:00,False
"Junior High School, Nanaora",MAHOBA,-,-,25.192419,79.695442,5,540,2026-01-01 00:00:00,2026-05-21 00:00:00,False
"Junior High School, Pithaurabad",BANDA,-,-,25.299383,80.358437,7,741,2026-01-01 00:00:00,2026-07-13 18:00:00,False
"Junior High School, Rawatpura Khurd",MAHOBA,-,-,25.258572,79.66424,7,786,2026-01-01 06:00:00,2026-07-23 06:00:00,False
"Junior High School, Sahurapur",HAMIRPUR,-,-,25.89018,80.057981,7,789,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Sugira",MAHOBA,-,-,25.34027,79.608336,7,780,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Tika Mau",MAHOBA,-,-,25.324057,79.949324,7,753,2026-01-01 00:00:00,2026-07-17 00:00:00,False
"Junior High School, Turra",BANDA,-,-,25.254282,80.627025,7,788,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"Junior High School, Urwara",MAHOBA,-,-,25.176167,79.734834,7,782,2026-01-01 00:00:00,2026-07-23 12:00:00,False
"K.N.S. Mahavidhyalaya, Gyanpur, Medium",SANT RAVIDAS NAGAR,-,-,25.33555556,82.46638889,5,546,2026-01-01 00:00:00,2026-05-30 00:00:00,False
"K.N.S. Mahavidhyalaya, Gyanpur, Shallow",SANT RAVIDAS NAGAR,-,-,25.33555556,82.46638889,5,569,2026-01-01 00:00:00,2026-05-30 00:00:00,False
