gwl_station,src_station,dist_km
Chitrakoot Manikpur Sardar Patel,Gunta Dam,1.0387928802165016
Chitrakoot Manikpur Sardar Patel,Rangwa Dam (ARG+AWLR),47.79533906670289
Chitrakoot Manikpur Sardar Patel,Rasin Dam,47.7992747928576
"Community Center, Ghorawal",Dhekwan RB Canal,27.6749645760355
"Community Center, Ghorawal",Dongia Canal Inlet,28.506644689004613
"Community Center, Ghorawal",SIRSI Dam Gate -1,29.97580938970563
Comosite School Campus Badalganj,Mahrajganj_1,47.181985742242574
Comosite School Campus Badalganj,Atraulia,64.91119706102619
Comosite School Campus Badalganj,Bhaluani,71.10007807857976
Composite Girls Primary School Mai,Parichha Dam,105.0301490864993
Composite Girls Primary School Mai,Pathari Dam,108.20727642124673
Composite Girls Primary School Mai,Lakheri Dam ARG+AWLR,109.30607559430617
Composite School Basantpur Saitali-1,Sarauli ARG,13.75027560707173
Composite School Basantpur Saitali-1,Daulla ARG,32.1542258372345
Composite School Basantpur Saitali-1,Barut ARG,46.436758848570335
Composite School Biralsi,Lalukhedi ARG,12.10203712807875
Composite School Biralsi,Saharanpur ARG,39.594685876248754
Composite School Biralsi,RAMALA ARG,43.53271677417179
Composite School Kilhora,Sarauli ARG,31.769345039130798
Composite School Kilhora,Daulla ARG,43.27805524415075
Composite School Kilhora,Barut ARG,55.73746065777368
Composite School Nagla Bair,Sarauli ARG,22.979772749956428
Composite School Nagla Bair,Daulla ARG,35.67719181337589
Composite School Nagla Bair,Barut ARG,48.87395870219889
Composite School Sagarpur,Lower Khajuri RB Canal,15.288757455285841
Composite School Sagarpur,Dhekwan RB Canal,30.98955968709663
Composite School Sagarpur,Meja Dam Gate -1,39.13668590858504
Composite School Sanjarpur,Mahrajganj_1,31.282149380892772
Composite School Sanjarpur,Atraulia,37.73214077027169
Composite School Sanjarpur,Bhaluani,88.51517419803876
Composite School katar,Atraulia,37.44060577919076
Composite School katar,Mahrajganj_1,45.40162987788206
Composite School katar,Bhaluani,110.18120624998802
"Composite School, Dhamna Khurd",Rasin Dam,105.00000330369335
"Composite School, Dhamna Khurd",Rangwa Dam (ARG+AWLR),105.00738321938577
"Composite School, Dhamna Khurd",Gunta Dam,126.35236896229121
"Composite School, Ghamhapur",Lower Khajuri RB Canal,13.527112090035788
"Composite School, Ghamhapur",Dhekwan RB Canal,30.52055374305509
"Composite School, Ghamhapur",Meja Dam Gate -1,32.45874935664231
"Composite School, Mungari",Lower Khajuri RB Canal,42.115404388079625
"Composite School, Mungari",Meja Dam Gate -1,54.6265064307324
"Composite School, Mungari",Dhekwan RB Canal,58.64879465461529
"Composite School, Pathraha",Dhekwan RB Canal,10.03998389964213
"Composite School, Pathraha",Lower Khajuri RB Canal,15.5223863528845
"Composite School, Pathraha",Jirgo AWS,18.274994091135365
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",Atraulia,117.92600051364703
