Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
"Primary School, Baghpokhar",SONBHADRA,-,-,24.7949281,82.839969,9,821,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Bamhauri",JHANSI,-,-,25.327954,79.22213,8,688,2026-01-01 18:00:00,2026-09-05 18:00:00,True
"Primary School, Bamhoori Khurd",MAHOBA,Mahoba,-,25.317413,79.679107,8,921,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Bandpur",BAGHPAT,-,-,28.901758,77.266898,9,811,2026-01-01 00:00:00,2026-09-04 00:00:00,True
"Primary School, Bartha Lala",DEORIA,-,-,26.2619457,83.8599194,9,823,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Basti",JALAUN,-,-,26.056467,79.183745,9,845,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Belatal",MAHOBA,Mahoba,-,25.276829,79.551523,9,792,2026-01-01 00:00:00,2026-09-01 00:00:00,True
"Primary School, Belaukh",SIDDHARTHNAGAR,-,-,27.0728875,82.9882,9,802,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Bgra khisani bujurg",JHANSI,Jhansi,-,25.277158,78.832417,9,861,2026-01-01 00:00:00,2026-09-04 00:00:00,True
"Primary School, Bhadauda",MEERUT,-,-,29.040462,77.513905,9,850,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Bhagwanpur",BAGHPAT,-,-,29.183441,77.339036,9,829,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Bhalsona",MEERUT,-,-,29.14366,77.520861,9,901,2026-01-01 00:00:00,2026-09-03 00:00:00,True
"Primary School, Bhartpura",LALITPUR,-,-,24.767445,78.303356,9,861,2026-01-02 06:00:00,2026-09-05 18:00:00,True
"Primary School, Bilata",LALITPUR,-,-,24.784226,78.706471,9,840,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Block Office",BAGHPAT,-,-,28.869728,77.288321,9,837,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Bodha",BAGHPAT,-,-,29.284083,77.166521,8,900,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Bohra",JALAUN,-,-,26.260482,79.253268,8,919,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Brahmpur",GORAKHPUR,-,-,26.5810775,83.5814486,9,815,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Chariya Bujrag",DEORIA,Deoria,-,26.638454,83.7077951,9,843,2026-01-02 18:00:00,2026-09-05 12:00:00,True
