district,year,class,area_sqkm,pct
BAREILLY,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",2.79656432,0.06787777475728156
BAREILLY,2005-06,Snow and Glacier,0.0,0.0
BUDAUN,2011-12,"Builtup,Urban",40.26,0.7790247678018576
BUDAUN,2011-12,"Builtup,Rural",217.69,4.212267801857585
BUDAUN,2011-12,"Builtup,Mining",0.24,0.0046439628482972135
BUDAUN,2011-12,"Agriculture,Crop land",4344.63,84.06791795665634
BUDAUN,2011-12,"Agriculture,Plantation",73.12,1.414860681114551
BUDAUN,2011-12,"Agriculture,Fallow",225.66,4.366486068111455
BUDAUN,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
BUDAUN,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
BUDAUN,2011-12,"Forest,Deciduous",5.53,0.1070046439628483
BUDAUN,2011-12,"Forest,Forest Plantation",0.0,0.0
BUDAUN,2011-12,"Forest,Scrub Forest",20.68,0.4001547987616099
BUDAUN,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
BUDAUN,2011-12,Grass/Grazing,27.55,0.5330882352941176
BUDAUN,2011-12,"Barren/Wastelands, Salt Affected",21.28,0.4117647058823529
BUDAUN,2011-12,"Barren/Wastelands, Gullied/Ravinus",0.0,0.0
BUDAUN,2011-12,"Barren/Wastelands, Scrub land",102.04,1.9744582043343653
BUDAUN,2011-12,"Barren/Wastelands, Sandy area",0.36,0.00696594427244582
BUDAUN,2011-12,"Barren/Wastelands, Barren rocky",0.0,0.0
BUDAUN,2011-12,"Barren/Wastelands, Rann",0.0,0.0
BUDAUN,2011-12,"Wetlands/Water, Inland Wetland",8.96,0.173374613003096
BUDAUN,2011-12,"Wetlands/Water, Coastal Wetland",0.0,0.0
BUDAUN,2011-12,"Wetlands/Water, River/Stream/Canal",76.9,1.4880030959752324
BUDAUN,2011-12,"Wetlands/Water, Reservoir/Lake/Pond",3.1,0.05998452012383901
BUDAUN,2011-12,Snow and Glacier,0.0,0.0
BUDAUN,2005-06,"Builtup,Urban",13.79988908,0.26702571749226006
BUDAUN,2005-06,"Builtup,Rural",230.6969166,4.4639496246130035
BUDAUN,2005-06,"Builtup,Mining",0.109737849,0.002123410390866873
BUDAUN,2005-06,"Agriculture,Crop land",4345.523139,84.08520005804954
BUDAUN,2005-06,"Agriculture,Plantation",8.021845045,0.15522145984907118
BUDAUN,2005-06,"Agriculture,Fallow",246.75986,4.7747650928792575
BUDAUN,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
BUDAUN,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
BUDAUN,2005-06,"Forest,Deciduous",7.206614251,0.13944687018188856
BUDAUN,2005-06,"Forest,Forest Plantation",0.0,0.0
BUDAUN,2005-06,"Forest,Scrub Forest",23.06733399,0.44634934191176473
BUDAUN,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
BUDAUN,2005-06,Grass/Grazing,53.2501161,1.030381503482972
BUDAUN,2005-06,"Barren/Wastelands, Salt Affected",25.12430611,0.4861514340170278
BUDAUN,2005-06,"Barren/Wastelands, Gullied/Ravinus",0.72744998,0.014076044504643965
BUDAUN,2005-06,"Barren/Wastelands, Scrub land",134.1681495,2.5961329237616098
BUDAUN,2005-06,"Barren/Wastelands, Sandy area",0.0,0.0
BUDAUN,2005-06,"Barren/Wastelands, Barren rocky",0.0,0.0
BUDAUN,2005-06,"Barren/Wastelands, Rann",0.0,0.0
BUDAUN,2005-06,"Wetlands/Water, Inland Wetland",9.814119715,0.18990169727167183
BUDAUN,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
BUDAUN,2005-06,"Wetlands/Water, River/Stream/Canal",66.92011139,1.29489379624613
BUDAUN,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",2.810411052,0.05438101880804953
BUDAUN,2005-06,Snow and Glacier,0.0,0.0
CHITRAKOOT,2011-12,"Builtup,Urban",38.3,1.3013931362555213
CHITRAKOOT,2011-12,"Builtup,Rural",21.85,0.7424396873938158
CHITRAKOOT,2011-12,"Builtup,Mining",0.4,0.013591573224600747
CHITRAKOOT,2011-12,"Agriculture,Crop land",1771.13,60.181107713217806
CHITRAKOOT,2011-12,"Agriculture,Plantation",9.28,0.3153244988107373
CHITRAKOOT,2011-12,"Agriculture,Fallow",120.12,4.081549439347604
CHITRAKOOT,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
CHITRAKOOT,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
CHITRAKOOT,2011-12,"Forest,Deciduous",713.68,24.250084947332653
CHITRAKOOT,2011-12,"Forest,Forest Plantation",7.97,0.2708120965001699
