Station,District,lat,lon,sand_0_30,silt_0_30,clay_0_30,bdod_0_30,sand_60_100,silt_60_100,clay_60_100,bdod_60_100
Sitapur Mafi,CHITRAKOOT,25.189291,80.869885,34.333333333333336,39.483333333333334,26.133333333333333,1.525,34.0,39.2,26.8,1.58
Sonbhadra Babhani Bhawar,MIRZAPUR,25.149966,82.509871,27.516666666666666,35.583333333333336,36.86666666666667,1.5316666666666667,26.3,36.2,37.5,1.59
Shahjahanpur Sidhauli Mahanand Pur,BAREILLY,28.007942,80.013319,32.3,40.53333333333333,27.166666666666668,1.34,31.0,38.3,30.7,1.37
Sonbhadra Chopan Khairatiya,MIRZAPUR,24.486905,82.988388,19.733333333333334,41.166666666666664,39.03333333333333,1.6716666666666664,19.0,36.3,44.7,1.73
Sonbhadra Duddhi Mahuli,MIRZAPUR,24.235831,83.303241,20.9,39.233333333333334,39.9,1.5933333333333335,19.3,34.1,46.6,1.69
Srikantpur Pr. Vid.,AZAMGARH,25.76527778,82.93416667,23.8,43.833333333333336,32.35,1.3966666666666667,22.1,41.5,36.5,1.48
Shitalpur_1,CHITRAKOOT,25.182206,81.021946,38.15,36.016666666666666,25.883333333333333,1.4916666666666667,38.8,35.9,25.3,1.58
Sonbhadra Myorpur Agartola,MIRZAPUR,24.098713,83.094693,17.916666666666668,42.15,39.9,1.6483333333333332,19.0,38.0,43.0,1.74
Sujanpura Badhyapar,GORAKHPUR,26.55,83.216111,30.966666666666665,42.96666666666667,26.033333333333335,1.3433333333333335,28.5,41.0,30.5,1.46
Terha_1,HAMIRPUR,25.830618,80.240971,37.65,36.28333333333333,26.05,1.4183333333333332,34.2,37.1,28.7,1.52
"Swarg Dham, Hardua",JHANSI,25.711111,79.09725,35.65,34.75,29.583333333333332,1.4149999999999998,34.5,34.6,30.9,1.49
Uccha Prathmik Vidhyalaya Deaval,CHITRAKOOT,25.387362,80.943182,40.666666666666664,34.31666666666667,25.1,1.4683333333333333,37.4,32.9,29.7,1.52
Sukwan,JHANSI,25.21438,78.53791,44.233333333333334,30.366666666666667,25.45,1.4766666666666666,40.3,31.1,28.6,1.52
Uccha Prathmik Vidhyalaya Odera,HAMIRPUR,25.561162,79.560182,39.35,37.1,23.55,1.4516666666666667,35.9,37.1,27.0,1.48
"Thana Prisar, Lalganj",MIRZAPUR,25.0189937,82.3612535,31.066666666666666,36.31666666666667,32.68333333333333,1.5416666666666667,31.3,35.6,33.1,1.61
Uccha Prathmik Vidhyalaya Devaratha,BANDA,25.542005,80.607435,35.1,35.55,29.383333333333333,1.4233333333333333,32.4,35.6,32.0,1.49
"Uccha Prathmik Vidhyalaya, Chero",DEORIA,26.3037,83.859915,29.833333333333332,41.5,28.666666666666668,1.3916666666666666,27.8,40.2,32.1,1.5
Uccha Prathmik Vidhyalaya Uldan,JHANSI,25.391496,79.01559,42.483333333333334,33.233333333333334,24.283333333333335,1.4466666666666665,39.9,33.6,26.6,1.49
"Uccha Prathmik Vidhyalaya, Hasanpur Kadim",MEERUT,28.938962,77.786322,36.516666666666666,39.083333333333336,24.416666666666668,1.4283333333333335,32.8,36.6,30.6,1.46
"Uccha Prathmik Vidhyalaya, Gangapur",FATEHPUR,25.980371,80.338543,29.45,45.666666666666664,24.916666666666668,1.375,25.8,42.9,31.3,1.48
"Uccha Prathmik Vidhyalaya, Kapsarh",MEERUT,29.197728,77.680634,34.68333333333333,41.43333333333333,23.85,1.4316666666666669,31.0,39.8,29.2,1.42
"Uccha Prathmik Vidhyalaya, Lohra (Pampawan)",SONBHADRA,24.883932,83.042117,21.816666666666666,34.2,43.93333333333333,1.6083333333333334,22.7,34.9,42.4,1.7
"Uccha Prathmik Vidhyalaya, Pathouli",MEERUT,29.084634,77.555724,36.016666666666666,38.15,25.833333333333332,1.4266666666666665,33.8,36.3,29.9,1.44
"Uccha Prathmik Vidhyalaya, Simra",JHANSI,25.543998,78.444637,38.71666666666667,33.61666666666667,27.7,1.4733333333333334,35.7,35.1,29.2,1.54
"Uccha Prathmik Vidhyalaya, Semra Bhav Nagar",LALITPUR,24.797724,78.599031,32.7,37.8,29.483333333333334,1.4683333333333333,28.9,37.6,33.6,1.54
Upper Primary Kasampur,MUZAFFARNAGAR,29.550843,77.804216,35.06666666666667,36.35,28.583333333333332,1.3866666666666667,33.4,35.4,31.2,1.41
